location,city,district,neighborhood,room,living_room,area,age,floor,price
afyonkarahisar-merkez-dumlupinar-satilik,afyonkarahisar,merkez,dumlupinar,2,1,90,26,5,1497000
afyonkarahisar-merkez-erenler-satilik,afyonkarahisar,merkez,erenler,1,1,50,5,3,1450000
afyonkarahisar-merkez-erenler-satilik,afyonkarahisar,merkez,erenler,2,1,100,5,5,1950000
afyonkarahisar-merkez-guvenevler-satilik,afyonkarahisar,merkez,guvenevler,3,1,130,25,1,2400000
afyonkarahisar-merkez-kanlica-satilik,afyonkarahisar,merkez,kanlica,3,1,125,5,3,3600000
afyonkarahisar-merkez-hoca-ahmet-yesevi-satilik,afyonkarahisar,merkez,hoca_ahmet_yesevi,2,1,105,11,2,2050000
afyonkarahisar-merkez-maresal-fevzi-cakmak-satilik,afyonkarahisar,merkez,maresal_fevzi_cakmak,2,1,110,0,2,2900000
afyonkarahisar-merkez-selcuklu-satilik,afyonkarahisar,merkez,selcuklu,4,1,150,3,2,6350000
afyonkarahisar-merkez-dumlupinar-satilik,afyonkarahisar,merkez,dumlupinar,3,1,130,31,3,2250000
afyonkarahisar-merkez-fatih-satilik,afyonkarahisar,merkez,fatih,4,1,137,0,3,5300000
afyonkarahisar-merkez-maresal-fevzi-cakmak-satilik,afyonkarahisar,merkez,maresal_fevzi_cakmak,2,1,90,3,1,2720000
afyonkarahisar-merkez-erenler-satilik,afyonkarahisar,merkez,erenler,2,1,90,7,5,1500000
afyonkarahisar-merkez-gazi-satilik,afyonkarahisar,merkez,gazi,3,1,120,0,1,4250000
afyonkarahisar-merkez-erenler-satilik,afyonkarahisar,merkez,erenler,1,1,55,5,2,1150000
afyonkarahisar-merkez-ornekevler-satilik,afyonkarahisar,merkez,ornekevler,3,1,115,11,0,2200000
afyonkarahisar-merkez-ali-ihsan-pasa-satilik,afyonkarahisar,merkez,ali_ihsan_pasa,3,1,125,20,0,2350000
afyonkarahisar-merkez-gazi-satilik,afyonkarahisar,merkez,gazi,3,1,120,0,2,4250000
afyonkarahisar-merkez-zafer-satilik,afyonkarahisar,merkez,zafer,3,1,115,30,5,1900000
afyonkarahisar-merkez-marulcu-satilik,afyonkarahisar,merkez,marulcu,3,1,135,25,3,4400000
afyonkarahisar-dinar-fatih-satilik,afyonkarahisar,dinar,fatih,2,1,76,3,4,2400000
afyonkarahisar-merkez-zafer-satilik,afyonkarahisar,merkez,zafer,3,1,125,0,0,2650000
afyonkarahisar-merkez-marulcu-satilik,afyonkarahisar,merkez,marulcu,2,1,115,16,2,1650000
afyonkarahisar-merkez-erkmen-fevzi-cakmak-satilik,afyonkarahisar,merkez,erkmen_fevzi_cakmak,2,1,100,0,1,3500000
afyonkarahisar-dinar-camikebir-satilik,afyonkarahisar,dinar,camikebir,2,1,108,26,3,2000000
afyonkarahisar-merkez-cumhuriyet-satilik,afyonkarahisar,merkez,cumhuriyet,1,1,56,16,5,1750000
afyonkarahisar-merkez-hamidiye-satilik,afyonkarahisar,merkez,hamidiye,3,1,130,26,4,2850000
afyonkarahisar-merkez-erkmen-cumhuriyet-satilik,afyonkarahisar,merkez,erkmen_cumhuriyet,1,1,50,0,1,2650000
afyonkarahisar-merkez-erenler-satilik,afyonkarahisar,merkez,erenler,2,1,52,5,2,1450000
afyonkarahisar-merkez-karsiyaka-satilik,afyonkarahisar,merkez,karsiyaka,3,1,125,0,1,3800000
afyonkarahisar-merkez-cumhuriyet-satilik,afyonkarahisar,merkez,cumhuriyet,2,1,115,25,4,2200000
afyonkarahisar-merkez-karsiyaka-satilik,afyonkarahisar,merkez,karsiyaka,3,1,120,0,1,3450000
afyonkarahisar-merkez-kocatepe-satilik,afyonkarahisar,merkez,kocatepe,2,1,110,23,3,2400000
afyonkarahisar-merkez-maresal-fevzi-cakmak-satilik,afyonkarahisar,merkez,maresal_fevzi_cakmak,2,1,90,0,3,2650000
afyonkarahisar-merkez-osman-gazi-satilik,afyonkarahisar,merkez,osman_gazi,2,1,75,0,2,2850000
afyonkarahisar-merkez-maresal-fevzi-cakmak-satilik,afyonkarahisar,merkez,maresal_fevzi_cakmak,3,1,120,0,3,3300000
afyonkarahisar-merkez-selcuklu-satilik,afyonkarahisar,merkez,selcuklu,2,1,102,0,1,4100000
afyonkarahisar-merkez-zafer-satilik,afyonkarahisar,merkez,zafer,3,1,135,0,2,3850000
