"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue"
"SELÇUKLU MAH.'DE SİTE İÇİ-OTOPARKLI-MESKEN TAPULU-BAHÇE KATI 3+1","126","3+1","2.800.000 TL","Merkez"
"KOÇOĞLUNDAN SELÇUKLU V.EREOĞLU PARKI KARŞISI 2+0 SATILIK DAİRE","75","2+0","3.550.000 TL","Merkez"
"KOÇOĞLUNDAN KOMPLE YEŞİLYOL MANZARALI 3+1 SATILIK DAİRE","117","3+1","4.550.000 TL","Merkez"
"SAHİBİNDEN BAŞARI SİTESİNDE SATILIK 3+1 DAİRE","120","3+1","2.675.000 TL","Merkez"
"ASKERİ FABRİKA YANINDA KAT SEÇENEKLİ SIFIR-1.KAT G-B CEPHE 3+1","115","3+1","3.850.000 TL","Merkez"
"SALİM GRP EMLAKTAN YENİCEDE TEK TAPUDA İKİ DAİRE","130","3+1","4.250.000 TL","Merkez"
"Satılık Açık Otopark Var Son 3 gün! Doğa Manzaralı 3+1 Çok Uygun","125","3+1","4.250.000 TL","MerkezÇarşı"
"ÇETİNKAYA TOKİ SATILIK 2+1 ZEMİNKAT","90","2+1","2.150.000 TL","Merkez"
"AFYON ÜÇOK EMLAKTAN KANLICA MAH SATILIK SIFIR TEMELDEN DAİRELER","85","2+1","3.250.000 TL","Merkez"
"FATİH MAHALLESİNDE 3+1 ARAKAT","125","3+1","3.340.000 TL","Merkez"
"DERVİŞ PAŞA MAHALLESİNDE YATIRIMLIK","90","2+1","1.590.000 TL","Merkez"
"GLOBAL'DEN KOCAŞABAN İLKOKUL YANI 2+0 FULL EŞYALI SIFIR DAİRELER","65","2+0","3.450.000 TL","Merkez"
"AFYONKARAHİSAR MERKEZ 1+1 EŞYALI DAİRE KARŞILIĞI ARSA HİSSESİ...","48","1+1","1.300.000 TL","Merkez"
"SANAT'TAN SIFIR AYARINDA LÜKS 3+1 DAİRE 133 M²","145","3+1","5.100.000 TL","Sandıklı"
"ZAFER MAHALLESİNDE ESKİ MÜZE ARKASINDA 3+1 SATILIK SIFIR DAİRE","125","3+1","4.250.000 TL","MerkezHarbiş"
"AFYON BAYLAN EMLAKTAN DUMLUPINAR MAH.SATILIK 3+1 LÜKS DAİRE","125","3+1","4.250.000 TL","MerkezDumlupınar"
"ORNEKEVLERDE SİTE İCİNDE ANA CADDE ÜSTÜ SATILIK 3+1","115","3+1","2.950.000 TL","Merkez"
"MAREŞALDE BAYRAKTEPE CAMİİ'NE YAKIN 3+1 SIFIR DAİRELER","105","3+1","3.600.000 TL","MerkezHarbiş"
"UZUNLAR EMLAK'TAN 4+1 140 M2 NET AFJETLİ MANZARALI DAİRE","160","4+1","6.750.000 TL","Merkez"
"AFM EMLAK'TAN CUMHURİYET MAH. 3+1 SATILIK DAİRE","115","3+1","2.950.000 TL","Merkez"
"CUMHURİYET MAHALLESİNDE SATILIK 3+1 DAİRE","120","3+1","2.900.000 TL","Merkez"
"MAREŞAL FEVZİ ÇAKMAK MAH. 2+1 SATILIK / OTURUMA HAZIR","78","2+1","3.250.000 TL","MerkezHarbiş"
"ÖZTÜRK EMLAK'TAN CUMHURİYET MH'DE MASRAFSIZ BAKIMLI ARAKAT 2+1","95","2+1","2.000.000 TL","Merkez"
"AYAZ GAYRİMENKULDEN İNAZ DEPREM EVLERİNDE SATILIK 2+1 DAİRE","110","2+1","1.170.000 TL","MerkezÇarşı"
"SAHİPATA EMLAKTAN DUMLUPINAR MAHALLESİNDE SATILIK DAİRE","100","2+1","1.550.000 TL","MerkezDumlupınar"
"SAHİPATA EMLAKTAN DUMLUPINAR MAHALLESİNDE SATILIK DAİRE","100","2+1","1.550.000 TL","MerkezDumlupınar"
"Halk Bankası'ndan Afyonkarahisar Merkez Satılık Konut","95","3+1","2.420.000 TL","Merkez"
"AYAZ GAYRİMENKULDEN CUMHURİYET MAH MESKEN TAPULU 2+1 BAHÇE KATI","110","2+1","1.200.000 TL","Merkez"
"ÇAMLIK SİTESİ 3+1 DAİRE","145","3+1","2.850.000 TL","Dazkırı"
"MERKEZİ KONUMDA KAÇIRILMAYACAK FIRSAT DAİRE","320","4+1","6.850.000 TL","MerkezDumlupınar"
"KARACALAR YOLU DOĞALGAZLI ULTRA LÜX 3+1 SIFIR DAİRE","155","3+1","4.600.000 TL","Emirdağ"
"DZ YILMAZ EMLAKTAN MAREŞAL FEVZİ ÇAKMAK MAH.SATILIK DAİRE! KUPON","155","4+1","4.300.000 TL","MerkezHarbiş"
"DZ YILMAZ EMLAKTAN KOCATEPE MAH.SATILIK ARA KAT DAİRE","125","3+1","3.250.000 TL","Merkez"
"AZAK EMLAK'TAN EN GÖZDE LOKASYONDA SATILIK 2+1 DAİRE","80","2+1","4.450.000 TL","Merkez"
"AFYON ÖZSU EMLAK'TAN SATILIK EŞYALI 2+1 DAİRE","75","2+1","4.350.000 TL","Merkez"
"DAMLA'DAN YEŞİLYOL, 6.KAT 5+1 (180 M2) DUBLEKS AFJETLİ&ASANSÖRLÜ","200","5+1","5.300.000 TL","MerkezDumlupınar"
"KUMARTAŞ(Erenler) SATILIK - Krediye Uygun -APART DAİRELER","54","2+0","1.450.000 TL","MerkezKöyler"
"03 EGEM EMLAK M.F.Ç DE ŞUHUT KAVŞ 4+1 SATILIK LÜX DAİRE","165","4+1","4.800.000 TL","MerkezHarbiş"
"03 EGEM EMLAK UYDUKENT SELÇUKLU MAH SATILIK AYRI MUTFAKLI 2+1","95","2+1","4.100.000 TL","Merkez"
"AFYON ÜÇOK EMLAKTAN CUMHURİYET MAH FUL YAPILI 3+1 DAİRE FIRSAT","120","3+1","3.100.000 TL","Merkez"
"AFYON ÜÇOK EMLAKTAN EŞREFPAŞA MAH SATILIK 2+1 4 YAŞ DAİRE","85","2+1","2.650.000 TL","MerkezEşrefpaşa"
"FİLLİ KAVŞAKTA 1+1FULL EŞYALI FIRSAT SATILIK DAİRE","55","1+1","2.500.000 TL","Merkez"
"Sahibinden satılık ACİL","130","3+1","3.500.000 TL","Merkez"
"HAYALİMDEN inaz deprem evlerinde","115","2+1","1.350.000 TL","MerkezÇarşı"
